"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2022-04-15 12:20:11.590Z", 105384083, 867100000,0, 3,"CRC_BAD",  7,"LORA",125000,"SF7"   ,""   ,-120, -9.2,"03FEA7C0-93B6D6"
"AA555A0000000101","","2022-04-15 12:21:55.536Z", 209318235, 868100000,1, 0,"CRC_BAD",224,"LORA",125000,"SF7"   ,"4/7",-121,-11.5,"DF6E6AD1-FCCBE2EE-8DBEA6C7-756030B3-02C10ACD-9E984D4B-BC04A538-3F8DAE8E-2D988C28-55F1800B-DC4DFBA2-D6088AB6-B1E03D48-485A60EE-34D26B08-1A7A5FCA-07F44D1B-26ED9D5D-3CF3D5BC-B2AB8460-AF2106D1-90A6237E-078AF886-48C84FCB-D87588C6-817AA401-11A417DA-2E265EE4-B901816B-A76C1D26-380C0BED-CD832FF2-372253FC-5868C3E4-FEC2A2DF-E60B112F-55D54F45-A3E10F82-32511FE6-BE08CEC8-D5396DE4-858DF921-07FD42D7-69B09077-F287CE8E-106B394E-08DE5958-F4C9B36D-3E24E589-7F9BB83B-70B914C6-EABFF197-B5DE9F1A-C07D4A70-73D938C2-AC7435A3"
"AA555A0000000101","","2022-04-15 12:22:49.698Z", 263476683, 867100000,0, 3,"CRC_BAD",212,"LORA",125000,"SF7"   ,"1/2",-120,-11.8,"E1F8F9E9-073B65CB-0802F92C-E2C6D87B-24B996DA-3A235050-A16C6621-0AED711A-11AFE1E8-30780D4C-E94BE248-C1D5CB00-155B518F-EB0312B9-B7C18570-743FCD7F-18A2A964-A5FD557D-36EAE68C-96CF1D22-95E04D10-0A35E25E-6333E20F-01F55908-A0D5DE58-AA722E78-72246D1F-A7F98BA6-26F1A1B9-8517645D-5EE8AA20-50CB5F76-789A2504-FD3C5910-61E9D93E-4F5DDE9D-0437DB82-5A38F230-360B494D-8A95CCA0-22793464-61485407-8B78371E-3EAEFA73-D5853EEB-E76D6F48-867B1E9D-604B0818-5483DD4F-DB8CE6E5-4EBB8160-45F2B0C6-CC6D6C6D"
