"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2022-04-08 22:08:14.682Z", 219512340, 867900000,0, 7,"CRC_BAD",142,"LORA",125000,"SF7"   ,"4/5",-121,-11.0,"5917CFAA-2DE81D43-15E11F08-C790AEA0-62565B5A-7E5DD060-B63849DA-633515E2-1D53BFC0-C62178C5-BE733E32-E7E9D173-5A597E6D-24CA8B87-44BFDE25-0107F485-A5E96071-775B8CD9-F074BFE3-37841EBC-275B9ECB-4EB5E1AE-70E76E65-EAE1AC60-CE66C644-5B27DC3F-3F3C5BF2-7E0BBFE7-51F182AF-0A35FC64-1192EF50-E3422312-D52CA94C-73CA5860-FC810776-7153"
"AA555A0000000101","","2022-04-08 22:09:57.408Z", 322236307, 868100000,1, 0,"CRC_BAD", 45,"LORA",125000,"SF7"   ,"2/3",-120,-11.2,"0B894EF6-0BDB8990-EB3911F1-CF03B943-875F7AC9-8E71ECE2-289E9485-B11F718A-A8477EB0-EA5E7BDE-D5D2E21F-BE"
"AA555A0000000101","","2022-04-08 22:11:41.974Z", 426803834, 868300000,1, 8,"CRC_BAD", 70,"LORA",250000,"SF7"   ,"1/2",-118,-12.0,"CD95BC42-D360A2E6-E0519E91-B03C25BE-04647F30-C00CB217-55FCFA49-FFD54E5A-4C0B3DBE-F040F360-578ACB7F-1DED9245-6851820E-2F48986B-C1B2B407-C0714E7A-B0CBE09A-1E98"
"AA555A0000000101","","2022-04-08 22:13:13.872Z", 518697100, 867700000,0, 6,"CRC_BAD",146,"LORA",125000,"SF7"   ,""   ,-120,-11.2,"649A7DE0-A285D2E3-7DBD65CE-7D4C3412-9251291F-62E3D562-3C12ADE6-2AC2AA0E-17F21100-2BE42422-CEF8B01A-FE9B34B3-D334038E-708028E6-89271FCD-46341FCA-8125EBF6-4CEC9725-3C20DF7D-A03F306D-B54D593F-1249F05D-AEB83319-C4D83CEC-9F47EEC7-6A811036-EE95D740-F7473E13-7FE7C8A0-2EF4E8D6-A67A8A24-D17F5451-EE1CFC29-C6E65EA3-E5CDFEB5-4CB94357-774F"
"AA555A0000000101","","2022-04-08 22:15:55.870Z", 680697827, 867100000,0, 3,"CRC_BAD",164,"LORA",125000,"SF7"   ,"1/2",-120,-11.0,"4E48FA04-BDF839B4-BB951740-B9582B4A-AF0BFD99-107323DE-D193679B-EC0AB9E7-EA4BFE4A-29539F2A-3D67FB7D-9C1793F8-E63D3D5E-DFA3B1D4-D823B9C9-588A321C-F3423073-AC9979A0-4C3A4D60-BC9E83CD-512660A4-AA1BEABF-007FC82F-7012AF9E-1681F8CD-FF196FE6-8D296DA5-023CAEEB-23440C3F-21773034-3C420814-831E0CEA-83151D7B-7F77D52C-B89D9C8F-62561C5D-7E9B78C0-6D593A28-DD464AD9-E85A06DA-3521C6B5"
