"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2022-04-16 21:27:21.532Z",  50149428, 867900000,0, 7,"CRC_BAD",246,"LORA",125000,"SF7"   ,"4/7",-121,-12.0,"EDD36B2A-CBC198B7-8155EE0C-CE66E15B-30545F14-F409FBF1-CC7DE00D-70DC8373-C10A6D53-D1EF80F4-1B283F0B-5CD0780A-FF508294-BB988643-FF100AE4-F535AA87-B72ED942-50ACA61D-25A5FA73-0F675C8B-C766E5C0-CBBE7E5C-B0D8085C-23F6DC69-A6016ABB-6894F74E-3F41A892-2998D8DB-1FDE96F7-9246098E-E91AE7F5-2EBA88C6-0846E0B4-3CE82F28-10FBAC7B-1976C482-FC63D4DF-32949A23-BC34B5CD-53AB4B9D-E1DE91CD-8CA457E5-2215BC1A-8CB60089-8185C784-B962C7D0-0A4CE7C6-7EF7CB09-47B67903-1982EECB-9D669018-94F04CE0-F3071489-5FBC8394-80F818FE-D8A75A8C-A7CBBCE0-F9B7C967-BAB88267-F109F359-9553D1A9-36F5"
"AA555A0000000101","","2022-04-16 21:29:39.499Z", 188180607, 868300000,1, 8,"CRC_BAD", 84,"LORA",250000,"SF7"   ,"2/3",-117,-11.5,"6A4DD4DA-C3893A97-4BFC4ECF-FA9680DE-B444C4E3-7E99122C-019D24F3-5972D55F-5D2EFC48-1DB31CDB-16BE3356-A26E7290-BF0F7AE3-82B53395-F0BE786D-D366C43E-8D7BDF72-E77B159F-24ABCA85-A98073D6-B61B5B51"
"AA555A0000000101","","2022-04-16 21:30:25.711Z", 234285404, 867900000,0, 7,"CRC_BAD",237,"LORA",125000,"SF7"   ,""   ,-121,-11.8,"EE10DC76-306A0FAD-9F1FDE0D-C111B420-1140404C-A4B1E3EF-43723009-0B76F261-AC209851-CC201DD4-AE2EE08F-FA971261-A09B371E-1A4D69A8-BEAD2150-D516FB7D-53FB46B7-DB20CF7F-5981AB27-1CA114EB-212DDA4C-3FA06393-AF7AB2D2-30952E5E-D445C81C-74DE9A26-35A7AC96-35C0A407-544281E1-7900A2E2-F43EB410-C8190B53-9AB8CC1C-18D43077-D7AE959D-A166E140-DA337887-DABB1036-8DAB5268-4FA45DC4-E7521CB2-4CC2552C-5FCF3119-35E71C83-279F8A58-ECA69F47-75E9ADE3-D1F8B496-2948FE1A-47B099E4-2CC12E45-FF0A4957-99A7E737-460824B5-73DE5F36-46C7E527-9712A05C-77D718C5-816DA3EA-3F"
"AA555A0000000101","","2022-04-16 21:31:52.166Z", 320707852, 867900000,0, 7,"CRC_BAD",160,"LORA",125000,"SF7"   ,"2/3",-121,-12.0,"8F64F460-ED01BB63-149ACDAA-0EDF625D-2EE56B17-4B0ED04E-F88F46D2-7691F774-FBBF05B6-30C28C49-78455BBA-121B5FCF-CBA3123D-BF4C1305-EB5F0CF5-627351E0-DB921A17-F9814DC3-C092EA56-CDA913F7-B18DB4BD-FCFEF15C-525DE6F2-952418AA-7E2E34F1-7B43DC62-B5D1A769-D61332B9-3D910827-4637BF94-D5F8FAD5-9E4AB05A-9650B68E-804334CB-45838AB8-42F48E2A-2328C441-D8E897EE-9A55D6EC-F69DCF7F"
"AA555A0000000101","","2022-04-16 21:37:37.666Z", 666269308, 867900000,0, 7,"CRC_BAD",134,"LORA",125000,"SF7"   ,""   ,-121,-11.8,"FF235451-5123E2A2-BE28FF81-E9312362-83344E7D-6691C31B-549B26D1-8FAF2C23-C5E47D4E-5DD5AE4B-FC5F111D-ADF471E2-A0F6877D-C70FF0A4-95B06ED9-2E4497C9-103DE833-C03DF144-E52EA922-4D3CED0D-625DF8AD-9A2910F7-3639E839-196E2A9F-F06B291B-A65E7705-3E83789A-1713F898-001EAAF3-6E3EFE18-2E1746C0-9C6223CD-861B00EA-38C2"
