"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2022-04-16 20:37:22.095Z", 178079659, 867300000,0, 4,"CRC_BAD", 26,"LORA",125000,"SF7"   ,"4/7",-120,-10.8,"CADCA08A-DE38788A-000D81DE-5288F416-55B8BFCF-98626AE3-90B6"
"AA555A0000000101","","2022-04-16 20:39:34.044Z", 310027723, 868300000,1, 8,"CRC_BAD", 85,"LORA",250000,"SF7"   ,"4/7",-118,-12.2,"AEDA2173-B4343519-8B1E2E58-00127E61-C5CDA1B8-1DF818A4-8851CF0D-F222C7A2-28216AA2-F9CCD998-BF2E60B4-5C739420-B66676ED-BCDA6879-6E5CBEF9-1BD489CE-71B2BE59-1FE551B2-66A1A00B-E500BBB5-64F35BBF-CC"
"AA555A0000000101","","2022-04-16 20:40:55.258Z", 391240667, 868300000,1, 1,"CRC_BAD",103,"LORA",125000,"SF7"   ,"4/7",-120,-11.8,"618E9AAC-ABA6AEAB-CF5CDD37-0B39F091-BCCD7C10-7BBE147F-05A757D9-96F8474D-E75ABD5C-830AC707-426080FA-867C643E-75807F2A-9951D610-79E54050-134C8522-7C58ACA1-2FC492E2-13D12CEF-E1AE59B2-6A18951B-155B69F4-FEFF3450-FE2B210D-D05BE2E4-D047AA"
"AA555A0000000101","","2022-04-16 20:41:41.698Z", 437679404, 867500000,0, 5,"CRC_BAD",  4,"LORA",125000,"SF7"   ,"2/3",-119, -9.2,"27E52EC1"
"AA555A0000000101","","2022-04-16 20:46:51.487Z", 747471099, 868500000,1, 2,"CRC_BAD",227,"LORA",125000,"SF7"   ,"4/5",-120,-11.5,"E5053927-B84CE452-3CC04A57-0A1C02A3-17466E44-E832825F-43ADFACC-C337BFEA-E2985518-E69BA854-80D9914D-4D6C0588-A37DE2A4-464B091F-CB2630A9-5216186C-DEF2EF1B-3F53AAEA-70DBF32E-FC66AFFC-91353D25-C5871091-D92FE9A6-B2D82EA2-2046D573-3F9439E0-0C87C548-074208AF-395023C7-A98DAF30-3C5266E1-70EA35FD-56CFF05A-B745B082-4043FF60-E1F442E4-08C443CD-9DF22952-8F570267-8222FCB9-120C8979-CF840809-2360C36F-86D08619-7DC23FE1-93BEE4B1-19FAD6FA-699658F8-EF19632E-1E369F57-E4D24ED2-0CD16CAE-0BD21F9B-9182F643-E590A0B8-0183A14E-BCAE2E"
"AA555A0000000101","","2022-04-16 20:47:18.107Z", 774092243, 868300000,1, 8,"CRC_BAD",153,"LORA",250000,"SF7"   ,"1/2",-117,-11.5,"25F8C1CE-169D2900-F43BD81B-2B0F33A3-81BF5B95-D13E3FE6-7A58B646-9865BAF5-0EEF21EF-5F9AF4B0-2D5CA590-0E99C4CC-7691E4AA-FF26CEDC-9274B3E2-5E9069CC-AAA0A541-AFCB83FA-680F1103-823C45F7-710D6CCA-C3649A2D-0925096F-26C15789-17B8A34D-69280F45-7FF60586-31B650AB-88690B13-68DACD0B-8B5EA6C0-31CC06AE-C07312CC-A8B9C5D9-97184A6D-A452BA4D-7908EC83-A79B22B4-49"
"AA555A0000000101","","2022-04-16 20:51:24.351Z",1020332603, 868300000,1, 1,"CRC_BAD", 57,"LORA",125000,"SF7"   ,"1/2",-120,-11.8,"8CF29AFE-DA4E65FF-2A303F56-68DC8E60-2F082029-E0322055-981D839E-10598170-B88F2C8C-A8707C38-6F1BDC23-D30FB177-ADDD4652-64FF7CDC-22"
"AA555A0000000101","","2022-04-16 20:53:22.987Z",1138969724, 867900000,0, 7,"CRC_BAD", 87,"LORA",125000,"SF7"   ,"2/3",-121,-11.5,"CD791A1D-4A43E93B-897185DA-7E84A429-EC09BF7F-BC236EE0-61CC97BA-698F6508-E2768ECA-2282D031-430FC5E5-55BDD217-B346E783-84362DB9-80F7F894-AA2F758E-A6B987C5-C8B4FDA5-11588A4B-CA11343C-6CC01ED5-8F262C"
