"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2022-04-16 20:28:39.976Z", 113532804, 867700000,0, 6,"CRC_BAD",200,"LORA",125000,"SF7"   ,"4/5",-119,-10.5,"D4E2AA7C-E21C55A9-57D9BB4B-CA56AA07-C56C6D62-4B774B4B-BB0BC308-9E578368-2CE818AF-CE1DFB71-E4F2230C-4B663BDE-80077929-3F9E8066-0FD3E01E-A2007E16-74C80085-5FB62592-1B75AEBF-813789B7-BF5DA5CA-485EF9C7-570C9075-C5E79A5D-305A9B84-31BBFA01-3FAB8C9D-C02F9D6F-F4789B71-7D8B570F-ECAFECA4-E4420BF8-961BBA79-2CC6616B-4788564E-8CA4DFAA-6ED48BF4-5599E4CC-B2BD2C2C-F9042172-8900540A-55B1BE6A-ED3D423F-8EEA8930-16995A25-18CA1444-D76E8310-2677CD54-94E50CA6-898B64C8"
"AA555A0000000101","","2022-04-16 20:29:04.076Z", 137632836, 867500000,0, 5,"CRC_BAD",226,"LORA",125000,"SF7"   ,"4/5",-120,-11.0,"C6DCDF62-BD415727-15B7F9F9-AC72E629-EC7001B6-D1FC23C6-F8D53E4A-91F4C4AD-91A41964-922C59BD-2AF5F215-BA56C1F9-C28D6767-01FB0252-93E536C4-55846E18-0D0077B5-F25E5C8C-230279E8-5B080EFB-8D9F13D9-070B6793-D31FD463-CBB43D8C-CD0005C6-508085DD-933C98DC-C48DD092-18E15CC6-71D28E6D-F37BFF7A-95C76030-75DF152D-64D0AD60-B67D2805-20A8F87C-36DCC427-08D0CD7D-7355BF34-E048E120-5A37BE15-154E1FED-A4BD2290-2843B43B-A047FD5A-29BDD8EA-C3D1E852-ADFD4A85-E564D3E6-3F25609D-736C9774-2B4C95FC-7848A6B2-22AD2C10-22FF2821-04765886-09DA"
"AA555A0000000101","","2022-04-16 20:32:42.195Z", 355749899, 867100000,0, 3,"CRC_BAD", 85,"LORA",125000,"SF7"   ,"4/5",-120,-11.5,"C257E031-8506CA7D-3B6F583C-D1D71B49-6B9ECABC-CEA0CDF6-E026BE86-DC34C7E4-B6062043-731601D0-37C7BB18-4A525592-C52C6272-6802E9F1-59217B06-18932883-670239D5-45A6CF6A-23381214-1BA4D166-2C6181C2-6A"
"AA555A0000000101","","2022-04-16 20:33:38.017Z", 411569859, 868300000,1, 1,"CRC_BAD", 52,"LORA",125000,"SF7"   ,"1/2",-120,-11.8,"5AB596AE-4607B220-9B95CD97-85C1CAC7-E0213D71-EF33E03B-63C1DE28-ECB1CC71-C4F53E65-C889D540-3CC8A5D2-FFBF3087-0BB65BA4"
